id;slug;name;lat;lon;seo_title;seo_desc;h1_headline;spot_description;best_wind;danger_info
63;kornwerderzand-ijsselmeer;Kornwerderzand - IJsselmeer;53.0736;5.3378;Kitespot Kornwerderzand: ICON-D2 Windvorhersage;Präzise ICON-D2 Winddaten für Kornwerderzand direkt am Abschlussdeich. Einzigartiger Spot zwischen IJsselmeer und Wattenmeer.;Kitesurfen in Kornwerderzand (Niederlande);Kornwerderzand liegt direkt am berühmten Afsluitdijk (Abschlussdeich), der das IJsselmeer von der Nordsee trennt. Gekitet wird hier auf der IJsselmeer-Süßwasserseite. Der Spot bietet Flachwasserbedingungen und wird durch den Deich vor extremen Wellen geschützt. Eine feine Graswiese dient zum Aufbauen.;Hervorragend bei Wind aus Südwest, West und Nordwest. Der Wind weht sehr konstant entlang des Deichs.;Achte unbedingt auf die großen Schleusenanlagen und die Strömungen, die durch den Wasseraustausch zwischen Nordsee und IJsselmeer entstehen können. Halte ausreichend Sicherheitsabstand zu den Schifffahrtswegen.
64;schellinkhout-markermeer;Schellinkhout - Markermeer;52.6319;5.1189;Kitespot Schellinkhout Markermeer: ICON-D2 Live-Wind;Aktueller ICON-D2 Windreport für Schellinkhout. Das extrem beliebte Stehrevier am Markermeer für Anfänger.;Kitesurfen in Schellinkhout (Markermeer / Niederlande);Schellinkhout ist einer der bekanntesten Anfänger- und Freestylespots am Markermeer. Ein riesiger, stehtiefer Bereich erstreckt sich weit in die Bucht hinein. Das Wasser ist meist flach bis leicht kabbelig (Chop), was ideale Bedingungen für die ersten Meter auf dem Board oder für unhooked Tricks bietet.;Optimal bei Wind aus Südwest, Süd und Südost. Der Wind kommt frei über das Markermeer und weht onshore auf den Grünstrand.;Aufgrund der perfekten Stehbedingungen und der Nähe zu Amsterdam ist der Spot an windigen Wochenenden extrem voll. Achte auf die Kiteschulen und halte Abstand zu den ufernahen Bäumen.
65;edam-markermeer;Edam - Markermeer;52.5117;5.0742;Kitespot Edam Markermeer: ICON-D2 Winddaten;Hochaufgelöste ICON-D2 Windvorhersage für Edam. Die ruhigere Freeride-Alternative am Markermeer.;Kitesurfen in Edam (Markermeer / Niederlande);Der Kitespot in Edam bietet eine entspannte Alternative zu den überlaufenen Spots der Region. Gekitet wird von einer schmalen Liegewiese aus direkt im Markermeer. Der Stehbereich ist relativ klein, das Wasser wird schnell tief. Es ist ein tolles Revier zum Freeriden und für Big-Air-Sprünge bei Starkwind.;Beste Windrichtungen sind Nordost, Ost und Südost. Bei Ostwind kommt der Wind völlig frei über das gesamte Markermeer.;Aufgrund des kleinen Einstiegs und des schnellen Übergangs ins tiefe Wasser ist der Spot für absolute Anfänger ungeeignet. Bei Westwind komplett ablandig und durch Windabdeckungen unbrauchbar.
66;zandvoort-nordseekueste;Zandvoort - Nordseekueste;52.3756;4.5244;Kitespot Zandvoort Nordseeküste: ICON-D2 Wind & Welle;ICON-D2 Windvorhersage für Zandvoort. Anspruchsvoller Nordsee-Wellenspot direkt am bekannten Badestrand.;Kitesurfen in Zandvoort (Niederlande);Zandvoort ist ein klassischer, offener Nordsee-Wellenspot mit einer fantastischen Brandungswelle. Bei starkem Westwind bauen sich hier saubere Wellenberge und ein heftiger Shorebreak auf – ein Traum für Wave-Kiter und Experten. Der kilometerbreite Sandstrand bietet unendlich viel Platz.;Perfekt bei Wind aus Südwest, West und Nordwest (side-onshore bis onshore). Süd- und Nordwind wehen genau sideshore parallel zum Strand.;Absolut kein Anfängerrevier! Starke Gezeitenströmungen, heftige Brandung und tiefe Rinnen erfordern viel Erfahrung. Im Sommer herrscht ein gigantischer Badebetrieb – das Kiten ist nur in den offiziellen Verzonungen (meist bei den Surfclubs) erlaubt.
67;scheveningen-nordseekueste;Scheveningen - Nordseekueste;52.1053;4.2658;Kitespot Scheveningen Nordsee: ICON-D2 Windvorhersage;Präzise ICON-D2 Winddaten für den Kitespot Scheveningen (Den Haag). Der legendäre Wellenspot der holländischen Kiteszene.;Kitesurfen in Scheveningen (Niederlande);Scheveningen bei Den Haag ist das Epizentrum der niederländischen Big-Air- und Wave-Kiteszene. Am breiten Sandstrand (nahe dem Hafen oder dem Pier) treffen sich die besten Kiter des Landes. Bei starkem Südwest- oder Nordweststurm entstehen hier gewaltige Wellenrampen und ein massiver Shorebreak.;Optimal bei Wind aus Südwest, West und Nordwest. Südwind bringt extreme Strömungen parallel zum Strand mit sich.;Nur für Profis und sehr erfahrene Kiter. Die Strömungen an den Hafenmolen sind lebensgefährlich. Abstand zu den Buhnenreihen, dem berühmten Pier und den zahlreichen Badegästen sowie Surfern halten.
68;noordwijk-nordseekueste;Noordwijk - Nordseekueste;52.2472;4.4267;Kitespot Noordwijk Nordsee: ICON-D2 Live-Wind;Aktueller ICON-D2 Windreport für Noordwijk. Toller Wellen- und Freeridespot an der holländischen Nordseeküste.;Kitesurfen in Noordwijk (Niederlande);Noordwijk bietet ein erstklassiges Open-Ocean-Revier an der holländischen Nordseeküste. Der weitläufige Sandstrand bietet viel Platz zum sicheren Aufbauen, Starten und Landen. Bei moderatem Wind ist es ein schönes Freeriderevier für weite Schläge, bei Sturm mutiert der Spot zum anspruchsvollen Wellenparadies.;Ausgezeichnet bei Wind aus Südwest, West und Nordwest. Nordwind steht voll onshore.;Kein Stehrevier vorhanden. Achte auf die wechselnden Gezeitenströme und die Badezonen im Sommer. Das Kiten ist über lokale Surfvereine organisiert, deren Sicherheitsregeln vor Ort unbedingt einzuhalten sind.
69;ijmuiden-kennemerstrand;IJmuiden - Kennemerstrand;52.4597;4.5622;Kitespot IJmuiden Kennemerstrand: ICON-D2 Wind;ICON-D2 Wind- und Wetterdaten für den Kennemerstrand in IJmuiden. Der extrem breite Sandstrand mit geschützter Wellenbucht.;Kitesurfen in IJmuiden (Kennemerstrand / Niederlande);Der Kennemerstrand in IJmuiden ist einer der breitesten Sandstrände Europas. Durch die riesige Nordermole (Hafeneinfahrt) ist der Spot im südlichen Bereich etwas vor den ganz brutalen Nordseewellen geschützt. Es bildet sich eine Art geschützte Bucht mit sortierten Wellen, was den Spot etwas zugänglicher macht als die offenen Nachbarspots.;Hervorragend bei Wind aus Südwest, West und Nordwest. Bei Südwestwind sorgt die Mole für etwas glatteres Wasser direkt an der Kante.;Achte auf den Sicherheitsabstand zur massiven Hafenmole (Verwirbelungen und Strömung). Durch die enorme Breite des Strandes läuft man vom Parkplatz aus ein gutes Stück bis zur Wasserkante (ideales Material-Schlepp-Training).
70;wijk-aan-zee-nordseekueste;Wijk aan Zee - Nordseekueste;52.4939;4.5811;Kitespot Wijk aan Zee: ICON-D2 Windvorhersage & Guide;Hochaufgelöste ICON-D2 Windvorhersage für Wijk aan Zee. Einer der besten Wave- und Big-Air-Spots in Holland.;Kitesurfen in Wijk aan Zee (Niederlande);Wijk aan Zee (Nordstrand) liegt nördlich der großen Hafeneinfahrt von IJmuiden und gilt unter Wave-Kitern als absoluter Hotspot. Die südlich gelegene Hafenmole schützt den Spot bei Südwestwind vor dem schlimmsten Strömungszug und sortiert die Wellen sauber. Es entstehen perfekte Rampen für astronomische Big-Air-Sprüngen und Wellenritte.;Funktioniert perfekt bei Wind aus Südwest, West und Nordwest. Südwest ist die absolute Sahnerichtung für diesen Spot.;Die Brandung und der Shorebreak können bei Sturm brutal sein – kein Spot für Anfänger. Halte respektvollen Abstand zur Mole und beachte die Zonenaufteilung der lokalen Strandcafés und Rettungsschwimmer.
71;texel-paal-17;Texel - Paal 17;53.0319;4.7186;Kitespot Texel Paal 17: ICON-D2 Windvorhersage;Aktuelle ICON-D2 Windvorhersage für Paal 17 auf Texel. Anspruchsvoller Nordsee-Wellenspot für erfahrene Kiter.;Kitesurfen auf Texel (Paal 17);Paal 17 auf der Watteninsel Texel ist ein weltbekannter Wellenspot an der offenen Nordsee. Hier bricht die Brandung kraftvoll über vorgelagerten Sandbänken und bietet fantastische Rampen für Wave-Kiter und Big-Air-Spezialisten. Der Strand ist breit und bietet eine hervorragende touristische Infrastruktur.;Optimal bei Wind aus Südwest, West und Nordwest. Der Wind kommt völlig ungehindert vom Atlantik und weht sehr konstant.;Kein Stehrevier vorhanden. Starke Strömungen (Tidenhub) und ein heftiger Shorebreak bei Flut machen den Spot für Anfänger absolut ungeeignet. Es gilt eine strikte Absprache mit den lokalen Surfschulen vor Ort.
72;texel-westerslag;Texel - Westerslag;53.0544;4.7339;Kitespot Texel Westerslag: ICON-D2 Windreport;ICON-D2 Windreport für Westerslag auf Texel. Unberührter Nordsee-Naturstrand mit starker Brandungswelle.;Kitesurfen in Westerslag (Texel);Westerslag liegt etwas nördlich von Paal 17 und ist die naturbelassenere, ruhigere Alternative auf Texel. Kiter erwartet hier ein offenes Nordsee-Revier mit feinstem Sandstrand und einer weiten Dünenkulisse. Bei starkem Westwind baut sich eine anspruchsvolle Brandungswelle mit tiefen Rinnen zwischen den Sandbänken auf.;Perfekt bei Wind aus Südwest, West und Nordwest. Nordwind steht voll onshore (auflandig).;Aufgrund fehlender Stations-Infrastruktur bist du hier meist auf dich allein gestellt. Die Strömungsverhältnisse im Wattenmeer-Ausgang sind extrem stark und unberechenbar. Nur für selbstständige Experten empfohlen.
73;ameland-nes;Ameland - Nes;53.4614;5.7761;Kitespot Ameland Nes: ICON-D2 Windvorhersage;Präzise ICON-D2 Winddaten für den Kitespot Nes auf Ameland. Weitläufiger Sandstrand mit toller Nordsee-Welle.;Kitesurfen auf Ameland (Nes);Der Spot in Nes liegt an der offenen Nordseite der wunderschönen Insel Ameland. Der Sandstrand ist gigantisch breit und bietet unendlich viel Platz zum sicheren Aufbauen und Starten. Je nach Gezeitenstand findet man hier zwischen den Sandbänken leicht kabbelige Flachwasserpriele oder echte Nordsee-Brecher weiter draußen.;Hervorragend bei Wind aus Nordwest, Nord und Nordost. West- und Ostwind wehen genau sideshore parallel zum Strand.;Die Gezeitenströme zwischen den Inseln ziehen extrem stark. Es gibt kein dauerhaftes Stehrevier. Im Hochsommer ist die ausgewiesene Sportzone für Kiter einzuhalten, um Badegäste nicht zu gefährden.
74;terschelling-groene-strand;Terschelling - Groene Strand;53.3614;5.2072;Kitespot Terschelling Groene Strand: ICON-D2 Live-Wind;Aktueller ICON-D2 Windreport für das Groene Strand auf Terschelling. Einzigartiger Watt- und Flachwasserspot.;Kitesurfen auf Terschelling (Groene Strand);Das Groene Strand liegt an der geschützten Südseite von Terschelling am Wattenmeer (nahe West-Terschelling). Im Gegensatz zur offenen Nordsee bietet dieser Spot durch die geschützte Lage echtes Flachwasser. Bei auflaufendem Wasser bildet sich eine riesige, flache Lagune, die ein Traum für Freestyler ist.;Optimal bei Wind aus Süd, Südwest und West. Der Wind kommt frei über das Wattenmeer und ist sehr konstant.;Extrem tideabhängig! Bei Ebbe fällt der Spot komplett trocken und verwandelt sich in reines Schlickwatt. Achte auf die Fahrrinnen der Inselfähren, die dicht am Spot vorbeilaufen – das Befahren der Fahrrinne ist verboten.
75;schiermonnikoog-surfstrand;Schiermonnikoog - Surfstrand;53.4883;6.1364;Kitespot Schiermonnikoog: ICON-D2 Winddaten;Hochaufgelöste ICON-D2 Windvorhersage für Schiermonnikoog. Der einsamste und breiteste Strand für Kitesurfer.;Kitesurfen auf Schiermonnikoog (Surfstrand);Schiermonnikoog besitzt den breitesten Sandstrand Europas. Der offizielle Surfstrand an der Nordseite bietet Natur pur und extrem viel Platz. Bei Flut bilden sich riesige, flache Lagunen auf dem Strand, die absolut stehtief und spiegelglatt sind – ideal für Anfänger. Weiter draußen wartet die offene Nordsee.;Beste Windrichtungen sind Nordwest, Nord und Nordost. Westwind funktioniert sideshore ebenfalls hervorragend.;Da die Insel autofrei ist, muss das Material mit dem Fahrrad oder Bollerwagen zum Strand transportiert werden. Die Wege durch die Dünen sind lang. Bei einsetzender Ebbe läuft das Wasser extrem schnell aus den Strandlagunen ab.
76;kamperland-veerse-meer;Kamperland - Veerse Meer;51.5833;3.6819;Kitespot Kamperland Veerse Meer: ICON-D2 Wind;Aktueller ICON-D2 Windreport für Kamperland am Veerse Meer. Das geschützte Binnenrevier in Zeeland.;Kitesurfen in Kamperland (Veerse Meer / Niederlande);Das Veerse Meer ist ein vom Meer abgetrennter Brackwassersee in Zeeland. Der Spot in Kamperland (Schotsman) bietet eine große Graswiese und ein geschütztes Stehrevier direkt hinter dem Deich. Da es hier keine Gezeiten und keine echten Wellen gibt, ist der Spot ideal für Einsteiger, Freerider und Foiler.;Gute Windrichtungen sind Südwest, West und Nordwest. Bei diesen Richtungen zieht der Wind über die Landzunge.;Da es sich um ein Binnenrevier handelt, kann der Wind bei nördlichen oder östlichen Richtungen durch Bäume und Gebäude sehr böig werden. Der Einstieg kann im Sommer durch Algenbildung rutschig sein.
77;muiderberg-ijmeer;Muiderberg - IJmeer;52.3325;5.1147;Kitespot Muiderberg IJmeer: ICON-D2 Windvorhersage;ICON-D2 Wind- und Wetterdaten für Muiderberg nahe Amsterdam. Flachwasser-Stehrevier am IJmeer.;Kitesurfen in Muiderberg (IJmeer / Niederlande);Muiderberg ist der absolute Kult-Spot im Großraum Amsterdam. Der Spot am IJmeer bietet ein extrem weitläufiges Stehrevier mit standsicherem Sanduntergrund. Das Wasser ist spiegelglatt bis leicht kabbelig, was Anfängern maximale Sicherheit gibt und Freestylern perfekte Pop-Bedingungen liefert.;Perfekt bei Wind aus Nordwest, Nord und Nordost. Bei diesen Richtungen weht der Wind voll auflandig (onshore) auf den kleinen Sandstrand.;Aufgrund der Nähe zu Amsterdam ist der Spot an windigen Tagen extrem überlaufen. Da das Stehrevier sehr weit hineinragt, ist der Spot für Foiler ungeeignet. Achte auf die ufernahen Bäume beim Starten.
78;almere-haven;Almere - Haven;52.3364;5.2219;Kitespot Almere Haven: ICON-D2 Windreport;ICON-D2 Windreport für Almere Haven am Gooimeer. Schöner Freeridespot im Süden von Flevoland.;Kitesurfen in Almere Haven (Gooimeer / Niederlande);Der Spot "Surfstrand Almere Haven" liegt am Gooimeer, einem Randsee des ehemaligen IJsselmeers. Kiter finden hier einen kleinen Sandstrand und eine Liegewiese vor. Es gibt einen kleinen Stehbereich, danach wird das Wasser tief. Ein tolles Revier zum entspannten Cruisen und Freeriden abseits der Massen.;Optimal bei Wind aus Süd, Südwest und West. Bei diesen Richtungen kommt der Wind relativ frei über das Gooimeer.;Der Einstiegs- und Startbereich ist recht schmal und von Bäumen umgeben – Vorsicht vor Lee-Wirbeln. Bei Nordwind komplett ablandig und durch die Stadt Almere extrem böig und unfliegbar.
79;medemblik-ijsselmeer;Medemblik - IJsselmeer;52.7744;5.1167;Kitespot Medemblik IJsselmeer: ICON-D2 Live-Wind;Aktueller ICON-D2 Windreport für Medemblik am westlichen IJsselmeer. Infos zu Windrichtungen und Bedingungen.;Kitesurfen in Medemblik (IJsselmeer / Niederlande);Medemblik liegt an der Westküste des IJsselmeers (Regatta-Zentrum). Der Kitespot am "Regattastrand" bietet eine kleine Gras- und Sandfläche. Der Stehbereich ist im Vergleich zu Workum oder Mirns recht klein, das Wasser wird zügig tief und baut einen kurzen, harten Chop auf – ideal zum Testen von Starkwind-Material.;Hervorragend bei Wind aus Nordost, Ost und Südost. Bei Ostwind kommt der Wind völlig ungehindert über das gesamte IJsselmeer.;Absolut kein reiner Anfängerspot aufgrund des kleinen Stehbereichs und der schnellen Tiefe. Bei Westwind komplett ablandig und extrem böig durch die ufernahe Bebauung.
80;oostvoorne-autostrand;Oostvoorne - Autostrand;51.9214;4.0714;Kitespot Oostvoorne: ICON-D2 Windvorhersage & Guide;Hochaufgelöste ICON-D2 Windvorhersage für Oostvoorne. Das legendäre, riesige Flachwasserbecken südlich von Rotterdam.;Kitesurfen in Oostvoorne (Niederlande);Oostvoorne (früher bekannt als Autostrand) ist eines der spektakulärsten Flachwasserreviere der Niederlande. Durch die vorgelagerten Sandbänke der Maasvlakte ist der Spot komplett vom offenen Meer getrennt. Es entsteht ein gigantischer, stehtiefer See mit spiegelglattem Wasser – ein absolutes Paradies für Anfänger und Speed-Kiter.;Funktioniert bei fast allen Windrichtungen von Südwest über West bis Nordost einwandfrei, da das Becken rundum geschützt ist.;Das Befahren des Strandes mit dem Auto ist seit Jahren verboten (der Name blieb im Volksmund). Der Fußweg vom Parkplatz zum Wasser ist je nach Wasserstand extrem lang (bis zu 15 Minuten). Achte auf die ausgewiesenen Naturschutz-Zonen.
81;silvaplanersee-engadin;Silvaplanersee - Engadin (CH);46.4619;9.7947;Kitespot Silvaplanersee: ICON-D2 Windvorhersage & Thermik;Aktuelle ICON-D2 Windvorhersage für den Silvaplanersee im Engadin. Alle Infos zum legendären Malojawind.;Kitesurfen am Silvaplanersee (Engadin / Schweiz);Der Silvaplanersee auf über 1.800 Metern Höhe ist die Geburtsstätte des alpinen Kitesurfens. Der Spot ist weltberühmt für seine verlässliche Thermik: Bei schönem Wetter erwacht pünktlich mittags der kräftige Malojawind. Das Wasser ist eiskalt, spiegelglatt bis leicht kabbelig und bietet eine atemberaubende Bergkulisse.;Optimal bei Südwestwind (Maloja-Thermik). Der Wind weht dann perfekt side-shore entlang des Sees.;Das Wasser hat selten mehr als 16 Grad – dicker Neoprenanzug ist Pflicht. Der Einstieg am Kite-Wiese-Gelände ist schmal und der Wind bläst direkt am Ufer oft böig. Aufgrund der Höhe hat der Wind weniger Dichte (weniger Druck im Schirm).
82;urnersee-isleten;Urnersee - Isleten (CH);46.9242;8.5944;Kitespot Urnersee Isleten: ICON-D2 Wind & Thermik-Guide;ICON-D2 Windreport für Isleten am Urnersee. Das Schweizer Starkwind-Mekka mit thermischem Föhnwind.;Kitesurfen am Urnersee in Isleten (Schweiz);Der Urnersee (südlicher Teil des Vierwaldstättersees) ist das thermische Starkwind-Herz der Schweiz. Der Spot Isleten liegt auf einem Delta und bietet durch die steilen Felswände einen Düseneffekt. Bei schönem Wetter im Sommer baut sich eine starke thermische Brise aus Norden auf, im Frühjahr und Herbst herrscht oft heftiger Föhn.;Perfekt bei thermischem Nordwind (Bise) oder starkem Südwind (Föhn). Der Wind zieht sauber durch das Tal.;Kein Stehrevier vorhanden, das Wasser wird sofort tief. Der Einstiegsbereich ist steinig und relativ klein. Aufgrund der extremen Fallwinde und der Föhn-Böen ist der Spot nur für fortgeschrittene und krisenerprobte Kiter geeignet.
83;neuenburgersee-portalban;Neuenburgersee - Portalban (CH);46.9189;6.9614;Kitespot Portalban Neuenburgersee: ICON-D2 Windvorhersage;Präzise ICON-D2 Winddaten für Portalban am Neuenburgersee. Das beliebteste Steh- und Freeriderevier der Westschweiz.;Kitesurfen in Portalban (Neuenburgersee / Schweiz);Portalban am Südufer des Neuenburgersees ist einer der am besten ausgestatteten Kitespots der Schweiz. Ein für Schweizer Verhältnisse sehr großzügiger Sandstrand und ein flacher Stehbereich machen den Spot extrem attraktiv für Aufsteiger und Freerider. Das Wasser bietet feinstes Kabbelwasser zum Cruisen.;Optimal bei Wind aus Nordost (die berühmte "Bise") und Südwest. Die Bise kommt hier perfekt side-onshore von rechts.;An schönen Bisen-Tagen herrscht am schmalen Strand extremer Platzmangel beim Starten. Das Kiten ist gebührenpflichtig (Start-/Landegebühr der lokalen Station beachten). Striktes Einhalten der Startzone ist Pflicht.
84;neuenburgersee-yvonand;Neuenburgersee - Yvonand (CH);46.8014;6.7456;Kitespot Yvonand Neuenburgersee: ICON-D2 Windreport;ICON-D2 Windreport für Yvonand am Neuenburgersee. Der traumhafte Sandstrand für Flachwasser-Liebhaber.;Kitesurfen in Yvonand (Neuenburgersee / Schweiz);Yvonand liegt im Südwesten des Neuenburgersees und ist bekannt für seine malerischen, von Pinien gesäumten Sandstrände. Der Spot bietet flaches, klares Wasser und ein moderates Stehrevier. Bei West- und Südwestwind weht es hier absolut frei und konstant über den See – ein Traum für Freerider und Foiler.;Hervorragend bei Wind aus Südwest und West. Bei diesen Richtungen kommt der Wind ungehindert über die gesamte Länge des Sees.;Bei der klassischen Schweizer Bise (Nordost) ist der Spot komplett ablandig und durch die Bäume stark abgeschattet. Im Hochsommer herrscht extrem dichter Badebetrieb an den flachen Sandstränden.
85;neuenburgersee-saint-blaise;Neuenburgersee - Saint-Blaise (CH);47.0133;6.9875;Kitespot Saint-Blaise Neuenburgersee: ICON-D2 Live-Wind;Aktueller ICON-D2 Windreport für Saint-Blaise am Nordufer des Neuenburgersees. Infos für Westwind-Sessions.;Kitesurfen in Saint-Blaise (Neuenburgersee / Schweiz);Saint-Blaise liegt am nordöstlichen Zipfel des Neuenburgersees. Der Spot ist ein klassischer Schlechtwetter- und Westwindspot. Wenn eine Front über die Schweiz zieht und West- bis Südwestwind bringt, weht es hier frei auf den schmalen Einstieg. Das Wasser wird schnell tief und baut einen kurzen Alpensee-Chop auf.;Beste Windrichtung ist Südwest und West. Bei diesen Richtungen zieht der Wind frei über das Wasser.;Kein Stehrevier und ein sehr anspruchsvoller Einstieg über Steinmauern oder schmale Wiesenabschnitte. Bei Bise (Nordost) weht es hier komplett ablandig. Nur für erfahrene Kiter empfohlen, die sicher im Tiefwasser starten können.
86;brienzersee-interlaken;Brienzersee - Interlaken (CH);46.6897;7.8711;Kitespot Brienzersee Interlaken: ICON-D2 Winddaten;Hochaufgelöste ICON-D2 Windvorhersage für den Brienzersee bei Interlaken. Das smaragdgrüne Alpenrevier.;Kitesurfen auf dem Brienzersee (Interlaken / Schweiz);Der Brienzersee bei Interlaken besticht durch sein tiefes, smaragdgrünes Gletscherwasser und die steilen Bergflanken. Der Einstieg erfolgt meist am Westende nahe Neuhaus. Durch die Topographie der Alpen entsteht bei passender Wetterlage eine thermische Talwind-Düse, die konstanten Wind garantiert. Perfekt für Hydrofoiler.;Optimal bei thermischem Ostwind oder kräftigem Westwind, der durch das Tal gepresst wird.;Das Wasser ist ganzjährig extrem kalt. Es gibt keinerlei Stehrevier, der See fällt sofort steil ab. Der Start- und Landebereich am Ufer ist extrem eng und stark reglementiert – oft ist ein Bootsshuttle der lokalen Schule die sicherste Wahl.
87;neusiedler-see-podersdorf;Neusiedler See - Podersdorf (AT);47.8544;16.8261;Kitespot Neusiedler See Podersdorf: ICON-D2 Wind;Aktueller ICON-D2 Windreport für Podersdorf am Neusiedler See. Das absolute Kitesurf-Mekka Österreichs.;Kitesurfen in Podersdorf am Neusiedler See (Österreich);Podersdorf ist das Epizentrum der österreichischen Kiteszene. Das Geniale am Neusiedler See: Der riesige Steppensee ist fast überall maximal 1,5 Meter tief. Podersdorf bietet als einziger Ort am See einen schilffreien Einstieg mit einer riesigen Kitewiese. Das Wasser ist extrem kabbelig, aber absolut stehtief und sicher.;Hervorragend bei Nordwestwind (oft stark nach Fronten) sowie bei Südwind. Nordwest weht perfekt side-onshore.;Durch die geringe Tiefe ist der See absolut ungeeignet für Foiler. Bei extremem Niedrigwasser kann es im Einstiegsbereich schlammig und zu flach zum Fahren werden. Der Nordstrand ist kostenpflichtig (Strandeintritt).
88;traunsee-ebensee;Traunsee - Ebensee (AT);47.8106;13.7842;Kitespot Traunsee Ebensee: ICON-D2 Windvorhersage;Präzise ICON-D2 Winddaten für den Traunsee in Ebensee. Die verlässliche Thermik-Düse im Salzkammergut.;Kitesurfen am Traunsee in Ebensee (Österreich);Der Traunsee in Ebensee (Rindbach) ist berühmt für seine "Urfahrn"-Thermie. Bei stabilem Schönwetter baut sich durch die Aufheizung der steilen Felswände des Traunsteins ab ca. 4 Uhr morgens (!) ein extrem treuer und starker thermischer Wind auf. Das Wasser ist spiegelglatt und glasklar – ein Traum für Foiler und Freerider.;Optimal bei thermischem Südwestsüdwind (Morgenwind) oder starkem Nordwind am Nachmittag.;Der Morgenwind schaltet meist pünktlich gegen 8:00 Uhr morgens wieder ab – Wer zu spät kommt, verpasst die Session. Kein Stehrevier, tiefes und kaltes Bergwasser. Der Einstiegsbereich in Rindbach ist reglementiert und erfordert eine Registrierung.
89;wolfgangsee-gamsjaga;Wolfgangsee - Gamsjaga (AT);47.7428;13.4336;Kitespot Wolfgangsee Gamsjaga: ICON-D2 Live-Wind;Aktueller ICON-D2 Windreport für den Kitespot Gamsjaga am Wolfgangsee. Toller Foiler-Spot im Salzkammergut.;Kitesurfen am Wolfgangsee (Gamsjaga / Österreich);Der Kitespot Gamsjaga liegt am wunderschönen Wolfgangsee im Salzkammergut. Aufgrund der umliegenden Berge ist der Spot stark von lokalen Windsystemen geprägt. Bei gutem Wetter entsteht eine feine Thermik, zudem funktioniert der Spot hervorragend bei echtem Westwind. Kiter schätzen das extrem saubere Wasser und die Kulisse.;Beste Windrichtungen sind West und Nordwest. Bei Westwind zieht der Wind frei über die Bucht.;Der Einstiegsbereich an der Bundesstraße (Gamsjaga) ist extrem schmal und steinig, das Starten erfordert präzises Schirmhandling. Es gibt kein Stehrevier, weshalb der Spot besonders bei Hydrofoilern beliebt ist, die schnell vom Ufer wegkommen.
90;achensee-buchau;Achensee - Buchau (AT);47.4217;11.7064;Kitespot Achensee Buchau: ICON-D2 Windvorhersage & Guide;Hochaufgelöste ICON-D2 Windvorhersage für den Achensee (Buchau). Das Tiroler Thermik-Paradies für Kitesurfer.;Kitesurfen am Achensee in Buchau (Tirol / Österreich);Der Achensee ist das "Meer der Tiroler" und liegt eingebettet in ein gewaltiges Bergmassiv. Der Spot Buchau am Südufer profitiert bei schönem Wetter von einer verlässlichen, thermischen Nordwind-Düse am Nachmittag. Das Wasser ist kristallklar und bietet Foilern und Freeridern ein majestätisches Alpenpanorama.;Optimal bei thermischem Nordwind (Schönwetterthermik am Nachmittag). Südwind (Südföhn) funktioniert ebenfalls, ist aber sehr böig.;Das Wasser ist erfrischend kalt. Der Einstiegsbereich in Buchau ist extrem klein und das Kiten ist streng reglementiert (Start- und Landeberechtigung über den lokalen Club erforderlich). Absolut kein Anfängerspot.
91;steinhuder-meer-mardorf;Steinhuder Meer - Mardorf;52.4914;9.2936;Kitespot Steinhuder Meer Mardorf: ICON-D2 Windvorhersage;Aktuelle ICON-D2 Windvorhersage für Mardorf am Steinhuder Meer. Das riesige Stehrevier in Norddeutschland.;Kitesurfen am Steinhuder Meer (Mardorf);Das Steinhuder Meer bei Hannover ist eines der beliebtesten Binnenreviere Deutschlands. Der Spot am Nordufer in Mardorf ("Surferstrand") bietet eine riesige, flache Badewanne: Das Wasser ist fast überall stehtief, was optimale Bedingungen für Anfänger und Freestyler schafft.;Optimal bei Wind aus West, Südwest und Nordwest. Bei diesen Richtungen weht der Wind frei über die gesamte Wasserfläche.;Der Untergrund ist sehr schlammig, und es gibt eine strikte Wintersperre zum Naturschutz (meist vom 15. November bis 31. März). Das Kiten ist zudem nur in der offiziell ausgewiesenen Zone erlaubt – die Leinenlängen sind lokal reglementiert.
92;grosser-brombachsee-allmannsdorf;Grosser Brombachsee - Allmannsdorf;49.1367;10.9620;Kitespot Großer Brombachsee: ICON-D2 Wind & Spotguide;ICON-D2 Windreport für Allmannsdorf am Großen Brombachsee. Das fränkische Kitesurf-Zentrum bei Westwind.;Kitesurfen am Großen Brombachsee (Allmannsdorf);Der Große Brombachsee im Fränkischen Seenland ist das absolute Highlight für Kiter im süddeutschen Raum. Der Spot Allmannsdorf am Nordufer bietet einen feinen Sandstrand und eine riesige Wiese zum Aufbauen. Bei starkem Westwind baut sich eine ordentliche Kabbelwelle auf, die ideal für weite Schläge und Sprünge ist.;Perfekt bei Wind aus West und Nordwest. Der Wind wird durch das Tal komprimiert und kommt völlig frei an.;Es gibt kein nennenswertes Stehrevier, das Wasser wird schnell tief. Bei Ostwind ist der Spot komplett ablandig und extrem böig. Im Sommer herrscht reger Badebetrieb – die offizielle Start- und Landezone ist strikt einzuhalten (Parkplatz gebührenpflichtig).
